,,,Presale_content2,Presale_buy_content1,Congratulations! You get a chance to book exclusive songs with 90% discount!Exclusive songs will be released in the new version on August 15.,مبروك! تم الحصول على فرصة للأغنية الخاصة المحجوز بخصم 90 بالمائةسيتم انطلاق الأغنية الخاصة في اليوم ال15 من أغسطس,恭喜成功！你获得1折预定二周年专属歌曲的机会！二周年专属歌曲将在8月15日新版本中发放！,恭喜成功！你獲得1折預定二週年專屬歌曲的機會！二週年專屬歌曲將在8月15日新版本中發放！,Gefeliciteerd! Je krijgt de kans om exclusieve nummers te boeken met 90% korting! Exclusieve nummers worden uitgebracht in de nieuwe versie op 15 augustus.,Binabati kita! Makakakuha ka ng isang pagkakataon upang mag -book ng mga eksklusibong kanta na may 90% na diskwento! Ang mga eksklusibong kanta ay ilalabas sa bagong bersyon sa Agosto 15.,Onnittelut! Sinulla on mahdollisuus varata yksinoikeudella kappaleet 90%: n alennuksella! Yksinomaiset kappaleet julkaistaan ​​uudessa versiossa 15. elokuuta.,Félicitations ! Solde de 90% pour réservation de création d'un morceau uniqueLe morceau unique sera dans la version du 15 août.,"Glückswunsch! Du hast Gelegenheit, ein exklusives Lied auf -90% zu bestellen!Das exklusive Lied wird in der Version vom 15. August verfügbar sein!",बधाई हो! आपको 90% छूट के साथ अनन्य गाने बुक करने का मौका मिलता है! अनन्य गाने 15 अगस्त को नए संस्करण में रिलीज़ किए जाएंगे।,Selamat!Anda mendapat kesempatan pesan lagu spesial dengan DISKON 90%Lagu Spesial akan rilis di versi baru pada tanggal 15 Agustus!,Complimenti successo! 90% di sconto per te a prenotare tua canzone esclusiva!La tua canzone esclusiva si lancia nella nuova versione il 15 agosto!,축하합니다! 90%할인으로 특정곡을 예약 기회 획득!특정곡이 8월 15일 새버전에 나오겠습니다!,おめでとうございます！９割引きで専属ソングを予約するチャンスをゲットしました！専属ソングは８月１５日にリリースする新バージョンで配布する予定！,Tahniah! Anda mendapat peluang untuk menempah lagu eksklusif dengan diskaun 90%! Lagu eksklusif akan dikeluarkan dalam versi baru pada 15 Ogos.,Gratulerer! Du får en sjanse til å bestille eksklusive sanger med 90% rabatt! Eksklusive sanger vil bli gitt ut i den nye versjonen 15. august.,Gratulacje! Masz szansę zarezerwować ekskluzywne utwory z 90% zniżką! Ekskluzywne piosenki zostaną wydane w nowej wersji 15 sierpnia.,Parabéns por sucesso! Pode reservar uma música exclusiva com 90% de desconto!A música exclusiva será colocada na nova atualização em 15 de agosto.,Parabéns por sucesso! Pode reservar uma música exclusiva com 90% de desconto!A música exclusiva será colocada na nova atualização em 15 de agosto.,Поздравляем! Вы получили скидку 90% на заказ песен!Эксклюзивные песни будут готовы в новой версии 15 августа!,¡Felicidades! ¡Has logrado el descuento 90% de reserva de música exclusiva!La música exclusiva te llegará junto con la actualización nueva día 15 de agosto.,Grattis! Du får en chans att boka exklusiva låtar med 90% rabatt! Exklusiva låtar släpps i den nya versionen den 15 augusti.,ยินดีด้วย! คุณได้รับโอกาสในการจองเพลงพิเศษพร้อมส่วนลด 90% เพลงพิเศษจะเปิดตัวในเวอร์ชันใหม่ในวันที่ 15 สิงหาคม,Tebrikler! Özel şarkı alma 90% indirim şansını kazandınız!Özel şarkılar Ağustos ayının yeni sürümünde verilecek!,Chúc mừng! Bạn có cơ hội đặt các bài hát độc quyền với giảm giá 90%! Các bài hát độc quyền sẽ được phát hành trong phiên bản mới vào ngày 15 tháng 8.
,,,,,Congratulations! You get a chance to book exclusive songs with 90% discount!,مبروك! تم الحصول على فرصة للأغنية الخاصة المحجوز بخصم 90 بالمائة,恭喜成功！你获得1折预定二周年专属歌曲的机会！,恭喜成功！你獲得1折預定二週年專屬歌曲的機會！,Gefeliciteerd! Je krijgt de kans om exclusieve nummers te boeken met 90% korting!,Binabati kita! Makakakuha ka ng isang pagkakataon upang mag -book ng mga eksklusibong kanta na may 90% na diskwento!,Onnittelut! Saat mahdollisuuden varata yksinoikeudella kappaleita 90%: n alennuksella!,Félicitations ! Solde de 90% pour réservation de création d'un morceau unique,"Glückswunsch! Du hast Gelegenheit, ein exklusives Lied auf -90% zu bestellen!",बधाई हो! आपको 90% छूट के साथ अनन्य गाने बुक करने का मौका मिलता है!,Selamat!Anda mendapat kesempatan pesan lagu spesial dengan DISKON 90%,Complimenti successo! 90% di sconto per te a prenotare tua canzone esclusiva!,축하합니다! 90%할인으로 특정곡을 예약 기회 획득!,おめでとうございます！９割引きで専属ソングを予約するチャンスをゲットしました！,Tahniah! Anda mendapat peluang untuk menempah lagu eksklusif dengan diskaun 90%!,Gratulerer! Du får en sjanse til å bestille eksklusive sanger med 90% rabatt!,Gratulacje! Masz szansę zarezerwować ekskluzywne piosenki z 90% zniżką!,Parabéns por sucesso! Pode reservar uma música exclusiva com 90% de desconto!,Parabéns por sucesso! Pode reservar uma música exclusiva com 90% de desconto!,Поздравляем! Вы получили скидку 90% на заказ песен!,¡Felicidades! ¡Has logrado el descuento 90% de reserva de música exclusiva!,Grattis! Du får en chans att boka exklusiva låtar med 90% rabatt!,ยินดีด้วย! คุณได้รับโอกาสในการจองเพลงพิเศษพร้อมส่วนลด 90%!,Tebrikler! Özel şarkı alma 90% indirim şansını kazandınız!,Chúc mừng! Bạn có cơ hội đặt các bài hát độc quyền với giảm giá 90%!
,,,,,Exclusive songs will be released in the new version on August 15.,سيتم انطلاق الأغنية الخاصة في اليوم ال15 من أغسطس,二周年专属歌曲将在8月15日新版本中发放！,二週年專屬歌曲將在8月15日新版本中發放！,Exclusieve nummers worden uitgebracht in de nieuwe versie op 15 augustus.,Ang mga eksklusibong kanta ay ilalabas sa bagong bersyon sa Agosto 15.,Eksklimuovut julkaistaan ​​uudessa versiossa 15. elokuuta.,Le morceau unique sera dans la version du 15 août.,Das exklusive Lied wird in der Version vom 15. August verfügbar sein!,अनन्य गाने 15 अगस्त को नए संस्करण में जारी किए जाएंगे।,Lagu Spesial akan rilis di versi baru pada tanggal 15 Agustus!,La tua canzone esclusiva si lancia nella nuova versione il 15 agosto!,특정곡이 8월 15일 새버전에 나오겠습니다!,専属ソングは８月１５日にリリースする新バージョンで配布する予定！,Lagu eksklusif akan dikeluarkan dalam versi baru pada 15 Ogos.,Eksklusive sanger vil bli utgitt i den nye versjonen 15. august.,Ekskluzywne piosenki zostaną wydane w nowej wersji 15 sierpnia.,A música exclusiva será colocada na nova atualização em 15 de agosto.,A música exclusiva será colocada na nova atualização em 15 de agosto.,Эксклюзивные песни будут готовы в новой версии 15 августа!,La música exclusiva te llegará junto con la actualización nueva día 15 de agosto.,Exklusiva låtar kommer att släppas i den nya versionen den 15 augusti.,เพลงพิเศษจะเปิดตัวในเวอร์ชันใหม่ในวันที่ 15 สิงหาคม,Özel şarkılar Ağustos ayının yeni sürümünde verilecek!,Các bài hát độc quyền sẽ được phát hành trong phiên bản mới vào ngày 15 tháng 8.
,,,,Presale_buy_content2,Exclusive songs will be released in the new version on August 15.Please remember to update the game version!,سيتم انطلاق الأغنية الخاصة في اليوم ال15 من أغسطسيرجى تحديث نسخة اللعبة في تلك الوقت!,二周年专属歌曲将在8月15日新版本中发放！届时请记得更新游戏版本哦！,二週年專屬歌曲將在8月15日新版本中發放！屆時請記得更新遊戲版本哦！,Exclusieve nummers worden op 15 augustus in de nieuwe versie uitgebracht. Vergeet niet om de spelversie bij te werken!,Ang mga eksklusibong kanta ay ilalabas sa bagong bersyon sa Agosto 15.Please tandaan na i -update ang bersyon ng laro!,Yksinomaiset kappaleet julkaistaan ​​uudessa versiossa 15. elokuuta. Muista päivittää peliversio!,Le morceau unique sera dans la version du 15 août.Mettez à jour votre version au jour J.,"Das exklusive Lied wird in der Version vom 15. August verfügbar sein!Vergiss nicht, das Spiel zur gegebenen Zeit zu aktualisieren!",अनन्य गाने 15 अगस्त को नए संस्करण में जारी किए जाएंगे। गेम संस्करण को अपडेट करने के लिए याद रखें!,Lagu Spesial akan rilis di versi baru pada tanggal 15 Agustus!Saat itu jangan lupa memperbarui versi!,La tua canzone esclusiva si lancia nella nuova versione il 15 agosto!Ricordati di aggiornare la versione allora!,특정곡이 8월 15일 새버전에 나오겠습니다!꼭 게임을 업데이트하세요!,専属ソングは８月１５日にリリースする新バージョンで配布する予定！アプリのアップデートを忘れないでね！,Lagu eksklusif akan dikeluarkan dalam versi baru pada 15 Ogos. Sila ingat untuk mengemas kini versi permainan!,Eksklusive sanger vil bli utgitt i den nye versjonen 15. august. Husk å oppdatere spillversjonen!,"Ekskluzywne piosenki zostaną wydane w nowej wersji 15 sierpnia. Pamiętaj, aby zaktualizować wersję gry!",A música exclusiva será colocada na nova atualização em 15 de agosto.Por favor não se esqueça de atualizar seu jogo a tempo!,A música exclusiva será colocada na nova atualização em 15 de agosto.Por favor não se esqueça de atualizar seu jogo a tempo!,Эксклюзивные песни будут готовы в новой версии 15 августа!Не забудьте обновить версию!,La música exclusiva te llegará junto con la actualización nueva día 15 de agosto.¡No olvides de renovar la versión!,Exklusiva låtar kommer att släppas i den nya versionen den 15 augusti. Kom ihåg att uppdatera spelversionen!,เพลงพิเศษจะเปิดตัวในเวอร์ชันใหม่ในวันที่ 15 สิงหาคมโปรดอย่าลืมอัปเดตเวอร์ชันเกม!,Özel şarkılar Ağustos ayının yeni sürümünde verilecek!Sürümü güncelleştirmeyi unutmayın!,Các bài hát độc quyền sẽ được phát hành trong phiên bản mới vào ngày 15 tháng 8. Xin hãy nhớ cập nhật phiên bản trò chơi!
,,,,Presale_success_Button,Schedule done,تم الحجز بنجاح,预定成功,預定成功,Schema gedaan,Iskedyul tapos na,Aikataulu,Réussi,bestellt,शेड्यूल किया गया,Berhasil pesan,Prenotato,예약 성공,予約成功,Jadual Selesai,Tidsplan gjort,Harmonogram zakończony,Reservou com sucesso,Reservou com sucesso,Заказано,Reserva hecha,Schema gjort,กำหนดเวลาทำ,Rezervasyon başarılı,Lịch trình thực hiện
,,,,,Please remember to update the game version!,يرجى تحديث نسخة اللعبة في تلك الوقت!,届时请记得更新游戏版本哦！,屆時請記得更新遊戲版本哦！,Vergeet niet om de spelversie bij te werken!,Mangyaring tandaan na i -update ang bersyon ng laro!,Muista päivittää peliversio!,Mettez à jour votre version au jour J.,"Vergiss nicht, das Spiel zur gegebenen Zeit zu aktualisieren!",कृपया गेम संस्करण को अपडेट करने के लिए याद रखें!,Saat itu jangan lupa memperbarui versi!,Ricordati di aggiornare la versione allora!,꼭 게임을 업데이트하세요!,アプリのアップデートを忘れないでね！,Sila ingat untuk mengemas kini versi permainan!,Husk å oppdatere spillversjonen!,"Pamiętaj, aby zaktualizować wersję gry!",Por favor não se esqueça de atualizar seu jogo a tempo!,Por favor não se esqueça de atualizar seu jogo a tempo!,Не забудьте обновить версию!,¡No olvides de renovar la versión!,Kom ihåg att uppdatera spelversionen!,โปรดอย่าลืมอัปเดตเวอร์ชันเกม!,Sürümü güncelleştirmeyi unutmayın!,Hãy nhớ cập nhật phiên bản trò chơi!
,,,,Presale_update_Button,Updated,تم تحديثها,更新版本,更新版本,Bijgewerkt,Nai -update,Päivitetty,MàJ du,Updated,अद्यतन,Pembaruan,Aggiorna,갱신,更新,Dikemas kini,Oppdatert,Zaktualizowane,Atualizou,Atualizou,обновлен,¡Actualizado,Uppdaterad,อัปเดต,yenilendi,Cập nhật
,,,,Presale_popup_title,For second anniversary,الذكرى السنوية الثانية,二周年专属,二週年專屬,Voor de tweede verjaardag,Para sa pangalawang anibersaryo,Toiseksi vuosipäivänä,Exclu du 2i anniversaire,Zum 2-jährigen Jubiläum,दूसरी वर्षगांठ के लिए,Khusus Ulang Tahun ke-2,2 anniversario esclusivo,2주년 특정,二周年限定,Untuk ulang tahun kedua,For andre jubileum,Na drugą rocznicę,Exclusivo para o 2º Aniversário,Exclusivo para o 2º Aniversário,Эксклюзив 2-ой годовщины,Exclusivo 2 aniversario,För andra årsdag,สำหรับวันครบรอบปีที่สอง,2th yıldönümü için,Cho kỷ niệm thứ hai
,,,,Presale_popup_subtitle,Get the booking songs,تلقي الأغنية المحجوزة,领取预订歌曲啦,領取預訂歌曲啦,Koop de boekingsnummers,Kunin ang mga kanta sa booking,Hanki varauslaulut,Recevoir le morceau réservé,Jetzt dein bestelltes Lied holen,बुकिंग गाने प्राप्त करें,Klaim lagu pesanan,Prendi la canzone prenotata,예약곡 수령하세요,予約した曲を受け取りましょう,Dapatkan Lagu Tempahan,Få booking -sanger,Zdobądź piosenki rezerwacyjne,Pegue a música que reservou,Pegue a música que reservou,Получите заказанную песню,Recibir canción reservada,Få bokningslåten,รับเพลงจอง,Rezervasyon yapılan şarkı alın,Nhận các bài hát đặt phòng
,,,,Presale_share,"I booked exclusive songs of second anniversary of ""Piano Tiles 2"" ! You can also have on August 15!",حجزت الأغاني الخاصة للذكرى السنوية الثانية للعبة! ويمكنك الحصول عليها في اليوم ال15 من أغسطس!,我预定了《钢琴块2》两周年专属歌曲！8月15日你也可以拥有！,我預定了《鋼琴塊2》兩週年專屬歌曲！ 8月15日你也可以擁有！,"Ik heb exclusieve liedjes van de tweede verjaardag geboekt van ""Piano Tiles 2""! Je kunt ook op 15 augustus hebben!","Nag -book ako ng mga eksklusibong kanta ng pangalawang anibersaryo ng ""Piano Tile 2""! Maaari ka ring magkaroon sa Agosto 15!","Varasin ""Piano Tiles 2"" toisesta vuosipäivästä yksinoikeudella kappaleita! Voit myös olla 15. elokuuta!",J'ai réservé le titre exclu du 2e anniversaire de Piano Tiles 2! Vous l'aurez aussi le 15 août!,Ich habe ein exklusives Lied zum 2-jährigen Jubiläum gebucht! Am 15. August erhältst du es auch!,"मैंने ""पियानो टाइल्स 2"" की दूसरी वर्षगांठ के अनन्य गीत बुक किए! आप 15 अगस्त को भी हो सकते हैं!",Gue memesan lagu spesial buat ulang tahun ke-2 Piano Tiles 2!Lu juga bisa punya di tlg 15 Agustus!,"Ho prenotato canzone esclusiva di 2 anniversario di PianoTiles2! Il 15 agosto, puoi averla anche tu!",난 <피아노 타일 2> 2주년 특정곡을 예약했습니다! 8월 15일! 너도 가질 수 있습니다!,「ピアノタイル２」二周年限定アルバムを予約しました！８月１５日ぜひご購入お待ちしております。,"Saya menempah lagu -lagu eksklusif ulang tahun kedua ""Piano Tiles 2""! Anda juga boleh mempunyai pada 15 Ogos!","Jeg bestilte eksklusive sanger av andre jubileum for ""Piano Tiles 2""! Du kan også ha 15. august!",Zarezerwowałem ekskluzywne piosenki z drugiej rocznicy „Piano Tiles 2”! Możesz także mieć 15 sierpnia!,Reservei a música exclusiva para o 2º Aniversário do PianoTiles2! Também pode pegar uma em 15/08!,Reservei a música exclusiva para o 2º Aniversário do PianoTiles2! Também pode pegar uma em 15/08!,Я заказал песни по случаю 2-ой годовщины 《Плиток фортепиано 2》! 15 августа вы тоже сможете получить!,¡He reservado la canción exclusiva para el 2º aniversario de Piano Tiles 2! ¡Tenla el 15 de agosto!,"Jag bokade exklusiva låtar från andra årsdagen av ""Piano Tiles 2""! Du kan också ha den 15 augusti!","ฉันจองเพลงพิเศษของวันครบรอบปีที่สองของ ""Piano Tiles 2""! คุณสามารถมีได้ในวันที่ 15 สิงหาคม!",Piano Tiles 2 İkinci Yıldönümü özel şarkıları rezervasyon yaptım. Ağustos 15'de alabilirsiniz!,"Tôi đã đặt các bài hát độc quyền của kỷ niệm thứ hai của ""Piano Gạch 2""! Bạn cũng có thể có vào ngày 15 tháng 8!"
,,,,Presale_card1,2 years anniversary,ذكرى سنوية ثانية,二周年专属活动,二週年專屬活動,2 jaar verjaardag,2 taong anibersaryo,2 vuoden vuosipäivä,2e anniversaire,2-jähriges Jubiläum,2 साल की सालगिरह,Ulang Tahun Ke-2,2º anniversario,2주년 특정,二周年限定,Ulang tahun 2 tahun,2 år jubileum,2 lata rocznica,2º Aniversário,2º Aniversário,Вторая годовщина,El 2º Aniversario,2 års jubileum,ครบรอบ 2 ปี,İkinci Yıldönümü,Kỷ niệm 2 năm
,,,,Presale_card2,Win bonus,كسب المكافأة,拼图赢福利,拼圖贏福利,Win Bonus,Manalo ng bonus,Voittaa bonus,Gagner les bonus,Belohnungen gewinnen,विन बोनस,Rebut bonus,Vinci benefici,퍼즐로 보상 얻기,ボーナスを勝ち取る,Menang Bonus,Vinn bonus,Premia wygrana,Pegar prêmios,Pegar prêmios,Получите выгоду,Ganar beneficio,Vinna bonus,ชนะโบนัส,Ödüller kazan,Giành được tiền thưởng
,,,,Presale_card3,Get the song!,احصل على الأغنية!,领取歌曲啦！,領取歌曲啦！,Koop het liedje!,Kunin ang kanta!,Hanki kappale!,Obtenez la chanson !,Hol dir das Lied!,गीत प्राप्त करें!,Dapatkan lagunya!,Prendi la canzone!,노래를 받아보세요!,曲をゲット！,Dapatkan lagu itu!,Få sangen!,Zdobądź piosenkę!,Pegue a música!,Pegue a música!,Получите песню!,¡Consigue la canción!,Få låten!,รับเพลง!,Şarkıyı alın!,Nhận bài hát!
,,,,,Scheduled players join net and get free.,كسبها مجانا في حال اتصال لاعبين محجوزين بالانترنت,已预定玩家连接网络，免费获取,已預定玩家連接網絡，免費獲取,Geplande spelers sluiten zich aan bij net en worden gratis.,Ang mga naka -iskedyul na manlalaro ay sumali sa net at makakuha ng libre.,Ajoitetut pelaajat liittyvät verkkoon ja saavat ilmaiseksi.,Mettez la connexion pour les gagner,Mit Internet-Anschluss holbar,अनुसूचित खिलाड़ी नेट में शामिल होते हैं और मुक्त हो जाते हैं।,Pemain yg pesan join internet gain free,"Accesso rete prenotato, l'ottieni gratis",예약된 유저는 인터넷 연결하여 무료 수령,すでに予約済みのお客様は無料でゲット,Pemain yang dijadualkan menyertai Net dan mendapatkan percuma.,Planlagte spillere blir med Net og blir gratis.,Zaplanowani gracze dołączają do sieci i otrzymują darmowe.,Os jogadores que reservaram conectam-se à rede para ganhar de graça,Os jogadores que reservaram conectam-se à rede para ganhar de graça,"Игроки, заказавщие заранее, могут получить бесплатно, подключившись к интернету","Conceta el Internet, lógrala gratis",Schemalagda spelare går med i nätet och blir gratis.,ผู้เล่นที่กำหนดเวลาเข้าร่วม NET และรับฟรี,Rezervasyon yaptığı oyuncular şimdi internete bağlan ve bedava alın,Người chơi theo lịch trình tham gia NET và nhận được miễn phí.
,,,,Presale_Startpage,You have already received booking songs. Start to play!,تم تلقي الأغنية المحجوزة، فتبدأ باللعبة!,你已领取预订的歌曲，开始游戏吧！,你已領取預訂的歌曲，開始遊戲吧！,Je hebt al het boeken van nummers ontvangen. Begin te spelen!,Nakatanggap ka na ng mga kanta sa pag -book. Magsimulang maglaro!,Olet jo saanut varauslaulujen. Aloita pelaaminen!,Vous l'avez reçu et commencez à jouer !,Du hast dein bestelltes Lied schon geholt. Jetzt spielen!,आपको पहले ही बुकिंग गाने मिल चुके हैं। खेलना शुरू करो!,"Anda sudah klaim lagu pesanan,mulai permainan","Hai già preso la canzone prenotata, comincia a giocare!",예약곡 수령 완료. 게임 시작합시다!,予約した曲を受け取りました。ゲームを始めましょう！,Anda telah menerima lagu tempahan. Mula bermain!,Du har allerede mottatt booking sanger. Begynn å spille!,Otrzymałeś już rezerwację piosenek. Zacznij grać!,Você já pegou a música reservado. Agora pode começar a jogar!,Você já pegou a música reservado. Agora pode começar a jogar!,"Вы уже получили заказанную песню, начните игру!","Has recibido canción reservada, empieza a jugar!",Du har redan fått bokningslåtar. Börja spela!,คุณได้รับเพลงจองแล้ว เริ่มเล่น!,"Şarkı alınmıştı, şimdi oynamaya başlayalım!",Bạn đã nhận được các bài hát đặt phòng. Bắt đầu chơi!
,,,,no_ad,Remove popup ads,إزالة الإعلانات المنبثقة,移除弹出广告,移除彈出廣告,Verwijder pop-upadvertenties,Alisin ang mga popup ads,Poista ponnahdusmainokset,Supprimer les publicités pop-up,Pop-up-Werbung entfernen,पॉपअप विज्ञापन हटाएं,Hapus iklan popup,Rimuovi gli annunci popup,팝업 광고 제거,ポップアップ広告を削除,Singkirkan iklan popup,Fjern popup-annonser,Usuń reklamy typu popup,Remover anúncios pop-up,Remover anúncios pop-up,Удалить всплывающую рекламу,Eliminar anuncios emergentes,Ta bort popup-annonser,ลบโฆษณาป๊อปอัพ,Açılır pencere reklamları kaldır,Loại bỏ quảng cáo popup
移除广告,,,,Privacy_policy,Privacy Policy,سياسة الخصوصية,隐私政策,隱私政策,Privacybeleid,Patakaran sa Pagkapribado,Tietosuojakäytäntö,Politique de confidentialité,Datenschutz,गोपनीयता नीति,Kebijakan privasi,Politica sulla riservatezza,개인정보보호 정책,プライバシーポリシー,Dasar Privasi,Personvernregler,Polityka prywatności,Política de Privacidade,Política de Privacidade,Политика конфиденциальности,Política de privacidad,Integritetspolicy,นโยบายความเป็นส่วนตัว,Gizlilik politikası,Chính sách bảo mật
,,,,TOS_Privacy,TOS Privacy,شروط الخدمة الخصوصية,TOS 隐私,TOS 隱私,TOS -privacy,Tos privacy,TOS -yksityisyys,Confidentialité de TOS,TOS Datenschutz,टीओएस गोपनीयता,TOS Privacy,TOS Privacy,서비스 약관 및 프라이버시,TOSプライバシー,Privasi TOS,Tos personvern,Prywatność TOS,Privacidade de TOS,Privacidade de TOS,TOS Политика,TOS Privacy,TOS -integritet,ความเป็นส่วนตัวของ TOS,TOS Politiksı,Quyền riêng tư của TOS
,,,,Privacy_Settings,Privacy Settings,إعدادات الخصوصية,隐私设置,隱私設置,Privacyinstellingen,Mga Setting ng Privacy,Yksityisyysasetukset,Paramètres de confidentialité,Datenschutzeinstellungen,गोपनीयता सेटिंग्स,Pengaturan Privasi,Impostazioni privacy,개인정보 설정,プライバシー設定,Tetapan Privasi,Personverninnstillinger,Ustawienia prywatności,Configurações de Privacidade,Configurações de Privacidade,Настройки конфиденциальности,Configuración de privacidad,Sekretessinställningar,การตั้งค่าความเป็นส่วนตัว,Gizlilik Ayarları,Cài đặt quyền riêng tư
,,,,recover_buy,Recover the purchase,استعادة الشراء,恢复购买,恢復購買,Herstel de aankoop,Ibalik ang pagbili,Palauta osto,Restaurer l'achat,Käufe wiederherstellen,खरीद को पुनर्प्राप्त करें,Pulihkan pembelian,Recupero d'acquisto,구매 복구,購入履歴を復元,Pulihkan pembelian,Gjenopprett kjøpet,Odzyskać zakup,Recuperar as compras,Recuperar as compras,Вернуть покупки,Sincroniza la compra,Återställ köpet,กู้คืนการซื้อ,Satın almanızı geri yükle,Phục hồi mua hàng
,,,,recover_buy_success,Recover purchase records Successfully,تم استعادة تاريخ الشراء بنجاح,成功恢复购买记录,成功恢復購買記錄,Kooprecords met succes herstellen,Matagumpay na mabawi ang mga tala sa pagbili,Palauta ostotiedot onnistuneesti,Achat restauré,Käufe erfolgreich wiederhergestellt,खरीद रिकॉर्ड को सफलतापूर्वक पुनर्प्राप्त करें,Berhasil pulihkan catatan pembelian,Record d'acquisto recuperato con successo,구매내역 복구 완료되었습니다,購入履歴を復元しました,Memulihkan rekod pembelian dengan jayanya,Gjenopprett innkjøpsposter med hell,Odzyskaj rekordy zakupu pomyślnie,Recuperou com sucesso o conteúdo comprado,Recuperou com sucesso o conteúdo comprado,Успешно восстановлены покупки,Compra sincronizada,Återställ inköpsposter framgångsrikt,กู้คืนบันทึกการซื้อได้สำเร็จ,Başarılıyla geri yüklendi,Khôi phục hồ sơ mua hàng thành công
,,,,recover_buy_no,Irreversible purchase records,لا يوجد تاريخ الشراء للاستعادة,无可恢复的购买记录,無可恢復的購買記錄,Onomkeerbare aankooprecords,Hindi maibabalik na mga tala sa pagbili,Peruuttamattomat ostotiedot,Pas d'achat à restaurer,Kein wiederherzustellender Kauf vorhanden,अपरिवर्तनीय खरीद अभिलेख,Tidak ada catatan pembelian dipulihkan,Non c'è record d'acquisto da recuperare,복구할 수 있는 구매내역 없습니다,復元できる購入履歴がございません,Rekod pembelian yang tidak dapat dipulihkan,Irreversible kjøpsregister,Nieodwracalne rekordy zakupów,Não há conteúdo comprado para ser recuperado,Não há conteúdo comprado para ser recuperado,Невозможно восстановить покупки,Ninguna compra por sincronizar,Irreversibla inköpsposter,บันทึกการซื้อที่กลับไม่ได้,Geri yüklenecek satın alma kayıtları yok,Hồ sơ mua hàng không thể đảo ngược
,,,,Puzzle_try_song,Preview of songs blocked,أغنية تجريبية غير مفتوحة,未解锁的试玩歌曲,未解鎖的試玩歌曲,Voorbeeld van geblokkeerde nummers,Preview ng mga kanta na naharang,Esikatselu kappaleista estetty,L'aperçu des morceaux bloqués,Nicht freigeschaltete Demo,अवरुद्ध गीतों का पूर्वावलोकन,Lagu percobaan yg belum kebuka,Canzone di prova da sbloccare,미언락된 미리해보기 음악,ロックされているDEMO曲,Pratonton lagu disekat,Forhåndsvisning av sanger blokkert,Podgląd utworów zablokowanych,Música de demonstração não liberada,Música de demonstração não liberada,Пробная игра неоткрытых песен,Canciones de prueba sin desbloquear,Förhandsvisning av låtar blockerade,ดูตัวอย่างเพลงที่ถูกบล็อก,Kilitli deneyim şarkılar,Xem trước các bài hát bị chặn
,,,,Puzzle_guide_tips1,More disks,أقراص مضغوطة أكثر,更多盘面,更多盤面,Meer schijven,Marami pang mga disk,Lisää levyjä,Plus de disques,Mehr Platten,अधिक डिस्क,lebih banyak,Più dischi,더 많은 음반,チェック,Lebih banyak cakera,Flere disker,Więcej dysków,Mais discos,Mais discos,Больше дисков,Más discos,Fler skivor,ดิสก์เพิ่มเติม,Fazla panel,Nhiều đĩa hơn
收集系统,,,首页引导tips,Puzzle_guide_tips3,Disk unlocked,فتح قرص مضغوط,盘面解锁,盤面解鎖,Schijf ontgrendeld,Naka -lock ang disk,Levy auki,Disque débloqué !,Platte freigeschaltet,खुला डिस्क,Buka kunci halaman,Disco sbloccato,음반 언락,アイコンをアンロック,Cakera dibuka,Disk låst opp,Odblokowany dysk,Libere o disco,Libere o disco,Открытие диска,Desbloquea discos,Disk olåst,ปลดล็อคดิสก์,Panel kilidi açın,Đĩa mở khóa
,,,,Puzzle_guide_tips2,The disk is updated again,تم تحديث القرص المضغوط,哎呀~更新了新的盘面啦！,哎呀~更新了新的盤面啦！,De schijf wordt opnieuw bijgewerkt,Ang disk ay na -update muli,Levy päivitetään uudelleen,MàJ de disque,Platte aktualisiert,डिस्क को फिर से अपडेट किया गया है,Gambar diperbarui lagi,Nuovo aggiornamento disco,음반을 업데이트했습니다,アイコンが更新されました,Cakera dikemas kini lagi,Disken er oppdatert igjen,Dysk jest ponownie aktualizowany,O disco foi atualizado,O disco foi atualizado,Диск обновлен,Actualizado el disco,Disken uppdateras igen,ดิสก์ได้รับการอัปเดตอีกครั้ง,Panel yenilenmişti,Đĩa được cập nhật lại
,,,首页盘面更新引导tips,Disc_unlock_success,Unlock the new disk!,تم فتح قرص مضغوط جديد!,解锁新盘面！,解鎖新盤面！,Ontgrendel de nieuwe schijf!,I -unlock ang bagong disk!,Avaa uusi levy!,Un nouveau disque débloqué !,Neue Platte freischalten!,नई डिस्क को अनलॉक करें!,Buka kunci halaman baru,Sblocca nuovo disco!,새로운 음반 언락!,新アイコンをアンロック,Buka kunci cakera baru!,Lås opp den nye disken!,Odblokuj nowy dysk!,Desbloquear o novo disco!,Desbloquear o novo disco!,Разблокируйте новый диск!,¡Desbloquea nueva plataforma!,Lås upp den nya disken!,ปลดล็อกดิสก์ใหม่!,Yeni panel kilidi açılmıştı.,Mở khóa đĩa mới!
