,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
670,Defend the Yellow River,Defend the Yellow River,الدفاع عن النهر الأصفر,保卫黄河,保衛黃河,Verdedig de gele rivier,Defend the Yellow River,Defend the Yellow River,Défendre la rivière jaune,Verteidigt den Gelben Fluss,Defend the Yellow River,Bela Sungai Kuning,Difendere il fiume Yellow,황하를 지켜라,保衛黃河,Defend the Yellow River,Forsvar den gule elven,Broń Żółtej Rzeki,Defenda o Rio Amarelo,Defenda o Rio Amarelo,Защитим Хуанхэ,Defender el río amarillo,Defend the Yellow River,ป้องกันแม่น้ำเหลือง,Sarı Nehri Savun,Sarı Nehir’i Savunun,Bảo vệ Hoàng Hà
671,Venetian Boat Song,Venetian Boat Song,أغنية قارب البندقية,威尼斯船歌,威尼斯船歌,Venetiaans bootliedje,Venetian Boat Song,Venetian Boat Song,Chanson de bateau vénitien,Barcarolle,Venetian Boat Song,Lagu Perahu Venesia,Canzone della barca veneziana,베네치아 보트 송,ヴェネツィアの舟歌,Venetian Boat Song,Venetiansk båtsang,Piosenka weneckiej łodzi,Canção do Barco Veneziano,Canção do Barco Veneziano,Венецианский Лодка Песня,Barcarola veneciana,Venetiansk båtsång,เพลงเรือเวนิส,Venedik Tekne Şarkısı,Venedik Tekne Şarkısı,Khúc hát chèo thuyền Venice
672,Troika,Troika,ترويكا,三套车,三套車,Trojka,Troika,Troika,Troïka,Troika,Troika,Troika,Troika,트로이카,トロイカ,Troika,Troika,Trójka,Troika,Troika,Тройка,Troika,Troika,Troika,Troika,Troyka,Troika
673,Habanera,Habanera,هابنرة,哈巴涅拉舞曲,哈巴涅拉舞曲,Habanera,Habanera,Habanera,Habanera,Habanera,Habanera,Habanera,Habanera,하바네라,恋は野の鳥,Habanera,Habanera,Habanera,Habanera,Habanera,Хабанера,Habanera,Habanera,Habanera,Habanera,Habanera,Habanera
674,L'Arlesienne,"L’Arlésienne, Suite No. 2: III. Menuet",سويت L’Arlésienne رقم 2: III. مينويتو,阿莱城姑娘，第二組曲：第三樂章，小步舞曲,阿萊城姑娘，第二組曲：第三樂章，小步舞曲,"L’Arlésienne, Suite Nr.2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite Nr. 2: III. Menuett","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite n. 2: III. Menuet",L'Arlesienne,アルルの女 第2組曲：第3曲 メヌエット,"L’Arlésienne, Suite No. 2: III. Menuet",L’Arlésienne Suite nr.2 – Menuett,"L’Arlésienne, Suita nr 2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Сюита № 2: III. Менуэт","L’Arlésienne, Suite núm. 2: III. Menuet","L’Arlésienne, Svit no. 2: III. Menuett","L’Arlésienne, Suite No. 2: III. Menuet","L’Arlésienne, Suit No. 2: III. Menuet",L’Arlésienne Süit No.2: III. Menüet,"L’Arlésienne, Suite No. 2: III. Menuet"
675,Londonderry Air,Londonderry Air,لندنديري اير,伦敦德里小调,倫敦德里小調,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,아! 목동아,ロンドンデリーの歌,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Лондондерри Эйр,Aire de Londonderry,Londonderry Air,Londonderry Air,Londonderry Havası,Londonderry Havası,Londonderry Air
676,Vltava,Vltava,فلتافا,沃尔塔瓦河,沃爾塔瓦河,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,블트바바,わが祖国,Vltava,Vltava,Wełtawa,Vltava,Vltava,Влтава,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava
677,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,الفالس البريلانتي No.3 Op.34,小猫圆舞曲,小貓圓舞曲,Valse Brillante Op.34 Nr.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 Nr.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 n.3,발스 브릴란테 Op.34 3번,華麗なる大円舞曲 Op.34-3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 nr.3,Walc brillant Op.34 nr 3,Valsa Brilhante Op.34 No.3,Valsa Brilhante Op.34 No.3,Блестящий вальс Op.34 №3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Parlak Vals Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3
678,Spinning Song,Spinning Song,اغنية الغزل,纺织歌,紡織歌,Spinnende nummer,Spinning Song,Spinning Song,Chanson de rotation,Spinning Song,Spinning Song,Lagu pemintalan,Canto rotante,스피닝 송,スピニング・ソング,Spinning Song,Spinner-sang,Prządka,Canção Giratória,Canção Giratória,Прядильная песня,La ronda de los molinos,Snurrlåt,เพลงปั่น,Dönen şarkı,Eğirme Şarkısı,Spinning Song
679,Dance of Reed,Dance of Reed,رقصة الريد,芦笛舞曲,蘆笛舞曲,Dans van riet,Dance of Reed,Dance of Reed,Danse de roseau,Dance of Reed,Dance of Reed,Dance of Reed,Danza di Reed,갈대의 춤,葦笛の踊り,Dance of Reed,Rørdansen,aniec trzcinowy,Dança das Palhetas,Dança das Palhetas,Танец пастушков,Baile de caña,Vassdans,Dance of Reed,Reed Dansı,Kamış Dansı,Dance of Reed
680,Seguidilla,Seguidilla,صغيدلة,塞桂第拉舞曲,塞桂第拉舞曲,Seguidilla,Seguidilla,Seguidilla,Seguilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla,세구이디야,セギディーリャ,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Сегидилья,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla
681,Tarantella,Tarantella,الترنتيلة,塔兰泰拉,塔蘭泰拉,Tarantella,Tarantella,Tarantella,Tarentelle,Tarantella,Tarantella,Tarantella,Tarantella,타란텔라,タランテラ,Tarantella,Tarantella,Tarantella,Tarantella,Tarantella,Тарантелла,Tarantela,Tarantella,ทารันเทลล่า,Tarantella,Tarantella,Tarantella
682,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,الرقصة النرويجية No.2 Op.35,挪威舞曲Op.35 No.2,挪威舞曲Op.35 No.2,Noorse dans Op.35 Nr.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Dance norvégienne Op.35 No.2,Norwegischer Tanz Op.35 Nr.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 n.2,노르웨이 춤 Op.35 2번,ノルウェー舞曲 Op.35-2,Norwegian Dance Op.35 No.2,Norsk dans Op.35 nr.2,Norweski taniec op.35 nr 2,Dança norueguesa op.35 No.2,Dança norueguesa op.35 No.2,Норвежский танец Op.35 №2,Danza noruega Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Norveç dansı op.35 No.2,Norveç Dansı Op.35 No.2,Vũ điệu Na Uy Op.35 No.2
683,Farewell of Slavianka,Farewell of Slavianka,وداع من سلافيانكا,斯拉夫女人的告别,斯拉夫女人的告別,Afscheid van Slavianka,Farewell of Slavianka,Farewell of Slavianka,Adieu de Slavianka,Farewell of Slavianka,Farewell of Slavianka,Perpisahan Slavianka,Addio di Slavianka,슬라비안카의 작별,スラブ娘の別れ,Farewell of Slavianka,Farvel av Slavianka,Pożegnanie Słowianki,Adeus de Slavianka,Adeus de Slavianka,Прощание славянки,Despedida de Slavianka,Farväl av Slavianka,Farewell of Slavianka,Slavianka'nın vedası,Farewell of Slavianka,Tạm Biệt Em Gái Slavo
684,Dreaming of Home and Mother,Dreaming of Home and Mother,الحلم بالبيت والام,送别,送別,Dromen van thuis en moeder,Dreaming of Home and Mother,Dreaming of Home and Mother,Rêver de la maison et de la mère,Dreaming of Home and Mother,Dreaming of Home and Mother,Memimpikan rumah dan ibu,Sognando casa e madre,어머니의 꿈,旅愁,Dreaming of Home and Mother,Drømmer om hjem og mor,Marzenie o domu i matce,Sonhando com casa e mãe,Sonhando com casa e mãe,Мечта о доме и матери,Sueño del hogar y la madre,Dreaming of Home and Mother,ฝันถึงบ้านและแม่,Ev ve anneyi hayal etmek,Ev ve Anne Özlemi,Mơ về nhà và mẹ
685,Salut d' Amour,Salut d' Amour,سلام الحب,爱的礼赞,愛的禮讚,Salut D 'Amour,Salut d' Amour,Salut d' Amour,Salut d’amour,Salut d' Amour,Salut d' Amour,Salut d 'Amour,Salut d 'amour,사뤼 당무르,愛の挨拶,Salut d' Amour,Salut D 'Amour,Salut d' Amour,Salut d' Amour,Salut d' Amour,Привет любви,Salut D 'Amour,Salut d' Amour,Salut d' Amour,Salut D 'Amour,Salut d' Amour,Salut d' Amour
686,Torna a Surriento,Torna a Surriento,طورنا سورينتو,重归苏莲托,重歸蘇蓮托,Torna een surriento,Torna a Surriento,Torna a Surriento,Torna un suriento,Torna a Surriento,Torna a Surriento,Torna a Surriento,Torna a suriente,토르나 아 수리엔토,帰れソレントへ,Torna a Surriento,Tilbake til Sorrento,Powrót do Sorrento,Torna a Surriento,Torna a Surriento,Вернись в Сорренто,Torna a Surriento,Torna a Surriento,Torna a Surriento,Torna A Turento,Torna a Surriento,Torna a Surriento
687,Di Spagna sono la bella,Di Spagna sono la bella,الجميلة الأسبانية,西班牙女郎,西班牙女郎,Di Spagna sono la bella,Di Spagna sono la bella,Di Spagna sono la bella,Di Spagna Sono la Bella,Di Spagna sono la bella,Di Spagna sono la bella,Di spagna sono la bella,Di spagna sono la la Bella,디 스파냐 소노 라 벨라,麗しきイスパニョーラ、愛の姿よ,Di Spagna sono la bella,Di Spagna Sono La Bella,Di Spagna sono la bella,Di spagna sono la bella,Di spagna sono la bella,красавица из Испании,Di spagna sono la bella,Di Spagna sono la bella,Di Spagna sono la bella,İspanyolların Güzeli,Di Spagna sono la bella,Di Spagna sono la bella
688,Evening song of the Fisherman,Evening song of the Fisherman,أغنية المساء للصياد,渔舟唱晚,漁舟唱晚,Avondlied van de visser,Evening song of the Fisherman,Evening song of the Fisherman,Chanson du soir du pêcheur,Evening song of the Fisherman,Evening song of the Fisherman,Lagu malam nelayan,Canzone serale del pescatore,저녁의 노래,漁師の夜の唄,Evening song of the Fisherman,Fiskerens aftensang,Wieczorna pieśń rybaka,Canção da Noite do Pescador,Canção da Noite do Pescador,Вечерняя песня рыбака,Canción de la tarde del pescador,Evening song of the Fisherman,เพลงยามเย็นของชาวประมง,Balıkçının Akşam Şarkısı,Balıkçının Akşam Şarkısı,Bài hát buổi tối của ngư dân
689,Etude Op.100 No.2,Etude Op.100 No.2,القطعة الموسيقية No.2 Op.100,阿拉伯风格曲,阿拉伯風格曲,Etude Op.100 nr. 2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 Nr.2,Etude Op.100 No.2,Etude Op.100 No.2,Etude op.100 n. 2,에튀드 Op.100 2번,練習曲 Op.100-2,Etude Op.100 No.2,Etude Op.100 nr.2,Etiuda Op.100 nr 2,Estudo Op.100 No.2,Estudo Op.100 No.2,Этюд Op.100 №2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 No.2,Erude Op.100 No.2,Etüd Op.100 No.2,Etude Op.100 No.2
690,Passacaglia,Passacaglia,بسكاجليى,帕萨卡利亚,帕薩卡利亞,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,파사칼리아,パッサカリア,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Пассакалья,Pasacalle,Passacaglia,Passacaglia,Pasajlia,Pasakalya,Passacaglia
691,Song of selling newspapers,Song of selling newspapers,أغنية بيع الصحف,卖报歌,賣報歌,Lied van het verkopen van kranten,Song of selling newspapers,Song of selling newspapers,Chanson de la vente de journaux,Song of selling newspapers,Song of selling newspapers,Song of Selling Koran,Canzone della vendita di giornali,신문 판매의 노래,売報歌,Song of selling newspapers,Avisguttens sang,Piosenka gazeciarzy,Canção da Venda de Jornais,Canção da Venda de Jornais,Песня газетчика,Canción del vendedor de periódicos,Song of Selling Newspapers,เพลงขายหนังสือพิมพ์,Gazete Satış Şarkısı,Gazete Satma Şarkısı,Khúc hát của người bán báo
692,Russian Dance,Russian Dance,الرقصة الروسية,俄罗斯舞曲,俄羅斯舞曲,Russische dans,Russian Dance,Russian Dance,Danse russe,Russischer Tanz,Russian Dance,Tarian Rusia,Danza russa,러시아 춤,ロシア舞曲,Russian Dance,Russisk dans,Rosyjski taniec,Dança russa,Dança russa,Русский танец,Danza rusa,Rysk dans,การเต้นรำรัสเซีย,Rus dansı,Rus Dansı,Vũ điệu Nga
693,Lascia chio pianga,Lascia chio pianga,دعني أبكي,让我痛哭吧,讓我痛哭吧,Lascia Chio Pianga,Lascia chio pianga,Lascia chio pianga,Lascia Chio Pianga,Lascia chio pianga,Lascia chio pianga,Lascia Chio Pianga,Lascia Chio Pianga,라시아 치오 피앙가,私を泣かせてください,Lascia chio pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia chio pianga,Lascia chio pianga,Lascia chio pianga,Lascia chio pianga,Bırak Ağlayayım,Lascia chio pianga,Lascia Chio Pianga
694,Sonata in A Major Mvt.2,Sonata in A Major Mvt.2,سوناتا في سلم لا الكبير Mvt.2,A大调奏鸣曲 第二章,A個大調奏鳴曲 第二章,Sonate in A Major Mvt.2,Sonata in A Major Mvt.2,Sonata in A Major Mvt.2,Sonate dans un major Mvt.2,Sonata in A Dur 2. Satz,Sonata in A Major Mvt.2,Sonata di MVT Mayor.2,Sonata in un grande Mvt.2,소나타 A장조 2악장,ソナタ イ長調 第2楽章,Sonata in A Major Mvt.2,Sonate i A-dur MVT.2,Sonata w A-dur Mvt.2,Sonata em Lá Maior Mvt.2,Sonata em Lá Maior Mvt.2,Соната в ля мажор,Sonata en la mayor Mvt.2,Sonat i A-dur Mvt.2,โซนาตาในคีย์เอเมเจอร์ มูฟเมนต์ 2,Büyük bir mvt.2'de sonata,A Majör Sonat 2. Bölüm,Sonata trong A Major Mvt.2
695,Sakura Sakura,Sakura Sakura,ساكورا ساكورا,樱花,櫻花,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,사쿠라 사쿠라,さくらさくら,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Сакура сакура,Sakura Sakura,Sakura Sakura,ซากุระซากุระ,Sakura Sakura,"Kiraz Çiçekleri, Kiraz Çiçekleri",Sakura Sakura
696,Silent Night,Silent Night,ليلة صامتة,平安夜,平安夜,Stille Nacht,Silent Night,Silent Night,Nuit silencieuse,Silent Night,Silent Night,Malam yang sunyi,Notte silenziosa,고요한 밤,きよしこの夜,Silent Night,Stille natt,Cicha noc,Noite silenciosa,Noite silenciosa,Тихая ночь,Noche silenciosa,Stilla natt,คืนเงียบ,Sessiz gece,Sessiz Gece,Đêm yên lặng
697,We Wish You a Merry Christmas,We Wish You a Merry Christmas,نتمنى لك عيد ميلاد سعيدا,我们祝你圣诞快乐,我們祝你聖誕快樂,We wensen je een vrolijk kerstfeest,We Wish You a Merry Christmas,We Wish You a Merry Christmas,Nous vous souhaitons un Joyeux Noël,We Wish You a Merry Christmas,We Wish You a Merry Christmas,Kami mengucapkan selamat Hari Natal,Vi auguriamo un Buon Natale,메리 크리스마스,おめでとうクリスマス,We Wish You a Merry Christmas,Vi ønsker deg en riktig god jul,Życzymy Ci wesołych świąt,Nós Te Desejamos um Feliz Natal,Nós Te Desejamos um Feliz Natal,Желаем вам счастливого Рождества,Le deseamos una Feliz Navidad,Vi önskar dig en God Jul,เราขอให้คุณสุขสันต์วันคริสต์มาส,Size Mutlu Noeller Dileriz,Size Mutlu Noeller Dileriz,Chúng tôi chúc bạn một Giáng sinh vui vẻ
698,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,طبعة عيد ميلاد لأجراس الميلاد,铃儿响叮当圣诞版,鈴兒響叮噹聖誕版,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,Édition de Noël Jingle Bells,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,Edisi Natal Jingle Bells,Campanellini – Edizione di Natale,징글벨 크리스마스 에디션,ジングルベル クリスマスエディション,Jingle Bells Christmas Edition,Bjelleklang juleversjon,Dzwonki sań– wersja świąteczna,Os Sinos de Tinir - Edição de Natal,Os Sinos de Tinir - Edição de Natal,"Джингл Белз, рождественская версия",Cascabeles (Edición navideña),Bjällerklang Julutgåva,ระฆังกริ๊ง ฉบับคริสต์มาส,Noel Versiyonu Jingle Bells,Jingle Bells Noel Sürümü,Jingle Bells – Phiên bản Giáng sinh
699,The Faithful Shepherd,The Faithful Shepherd,الراعي الملخص,忠实的牧羊人,忠實的牧羊人,De trouwe herder,The Faithful Shepherd,The Faithful Shepherd,Le fidèle berger,The Faithful Shepherd,The Faithful Shepherd,Gembala yang setia,Il fedele pastore,충실한 목자,忠実な羊飼い,The Faithful Shepherd,Den trofaste hyrden,Wierny pasterz,O pastor fiel,O pastor fiel,Верный пастух,El pastor fiel,Den gode herden,คนเลี้ยงแกะที่ซื่อสัตย์,Sadık Çoban,The Faithful Shepherd,Người chăn cừu trung thành
700,Joy to the World,Joy to the World,السعادة إلى العالم,普世欢腾,普世歡騰,Vreugde voor de wereld,Joy to the World,Joy to the World,Joie au monde,Joy to the World,Joy to the World,Sukacita bagi Dunia,Gioia nel mondo,세상에 기쁨을,ジョイ・トゥ・ザ・ワールド,Joy to the World,Glede til verden,Radość dla świata,Alegria para o Mundo,Alegria para o Mundo,"Радуйся, мир!",Alegría para el mundo,"Gläd dig, du värld",Joy to the World,Dünyaya neşe,Joy to the World,Niềm Vui Cho Thế Giới
701,Symphony No.8 in G Major Mvt.3,Symphony No.8 in G Major Mvt.3,السيمفونية رقم 8 في مفتاح صول الكبير الجزء 3,第八交响曲第三乐章,第八交響曲第三樂章,"Symfonie nr. 8 in G majeur, deel 3",Symphony No.8 in G Major Mvt.3,Symphony No.8 in G Major Mvt.3,Symphonie No.8 en G Major Mvt.3,Symphony Nr.8 in G Dur 3. Satz,Symphony No.8 in G Major Mvt.3,Symphony No.8 di G Mayor Mvt.3,Sinfonia n. 8 in G Major Mvt.3,교향곡 제8번 G장조 3악장,交響曲 第8番 ト長調 第3楽章,Symphony No.8 in G Major Mvt.3,Symfoni nr.8 i G-dur Mvt.3,Symfonia nr 8 w G-dur Mvt.3,Sinfonia No.8 em Sol Maior Mvt.3,Sinfonia No.8 em Sol Maior Mvt.3,Симфония № 8 соль 3 часть,Sinfonía No.8 en Sol Mayor Mvt.3,Symfoni nr.8 i G-dur Mvt.3,ซิมโฟนีหมายเลข 8 ในคีย์ G เมเจอร์ มูฟเมนต์ 3,G Majör Mvt.3'te Senfoni No.8,G Majör 8. Senfoni 3. Bölüm,Bản giao hưởng No.8 trong G Major Mvt.3
702,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening,حلم ويقظة دوللي,洋娃娃的梦,洋娃娃的夢,Dolly's dromen en ontwaken,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening,Dolly est le rêve et le réveil,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening,Mimpi dan Kebangkitan Dolly,Dolly's Dreaming and Awakening,돌리의 꿈과 각성,人形の夢と目覚め,Dolly's Dreaming and Awakening,Dollys drømmer og oppvåkning,Marzenia i przebudzenie Dolly,Sonhos e Despertar de Dolly,Sonhos e Despertar de Dolly,Мечты и пробуждение Долли,Soñando y despertando de Dolly,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening,Dolly'nin rüyası ve uyanış,Dolly's Dreaming and Awakening,Dolly's Dreaming and Awakening
703,Amazing Grace,Amazing Grace,أمازينغ غريس,奇异恩典,奇異恩典,Verbazingwekkende gratie,Amazing Grace,Amazing Grace,Amazing Grace,Amazing Grace,Amazing Grace,Berkat yang mengagumkan,Grazia straordinaria,놀라운 은혜,アメージンググレース,Amazing Grace,Fantastisk nåde,Cudowna łaska,Incrível Graça,Incrível Graça,"О, благодать",Sublime gracia,Amazing Grace,Amazing Grace,Muhteşem Lütuf,Amazing Grace,Ân Sủng Lạ Lùng
704,Nel cor piu non mi sento,Nel cor piu non mi sento,نيل كور بيو نون مي سنتو,心中欢乐已经失去,心中歡樂已經失去,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi Sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel piu non mi sente,넬 코르 피우 논 미 센토,もはや私の心には感じない,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Nel cor piu non mi sento,Kalbimde Artık Hissetmiyorum,Nel cor piu non mi sento,Nel cor piu non mi sento
705,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,القطعة الموسيقية No.6 Op.36,火花,火花,Etincelles Etude OP.36 Nr.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etinnelles Etude Op.36 No.6,Etincelles Etude Op.36 Nr.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 n.6,불꽃 에튀드 Op.36 6번,火花 練習曲 OP.36-6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 nr.6,Iskierki – Etiuda Op.36 nr 6,Etincelles Estudo Op.36 No.6,Etincelles Estudo Op.36 No.6,Искры Этюд Op.36 №6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6,Eteude Op.36 No.6,Etincelles Etude Op.36 No.6,Etincelles Etude Op.36 No.6
706,The Tuileries Gardens,The Tuileries Gardens,حدائق التويلري,杜伊勒里宫的花园,杜伊勒裡宮的花園,De Tuileries Gardens,The Tuileries Gardens,The Tuileries Gardens,Les jardins Tuileries,The Tuileries Gardens,The Tuileries Gardens,Kebun Tuileries,The Tuileries Gardens,튈르리 정원,テュイルリー公園の音楽会,The Tuileries Gardens,Tuileries-hagene,Ogrody Tuileries,Jardins de Tuileries,Jardins de Tuileries,Сад Тюильри,Los jardines de las musas,Tuileriernas trädgårdar,สวนทุยเลอรี,Tuileries Bahçeleri,Tuileries Bahçeleri,Các khu vườn Tuileries
707,Graduation Song,Graduation Song,أغنية التخرج,毕业歌,畢業歌,Afstudeerlied,Graduation Song,Graduation Song,Chanson de graduation,Graduation Song,Graduation Song,Lagu Wisuda,Canzone di laurea,졸업식 노래,卒業の唄,Graduation Song,Konfirmasjonssang,Piosenka na zakończenie szkoły,Canção da Formatura,Canção da Formatura,Песня выпускника,Canción de graduación,Examenslåtar,เพลงสำเร็จการศึกษา,Mezuniyet şarkısı,Mezuniyet Şarkısı,Khúc ca tốt nghiệp
708,Arirang,Arirang,أريرانج,阿里郎,阿里郎,Arirang,Arirang,Arirang,Arirang,Arirang,Arirang,Arirang,Arirang,아리랑,アリラン,Arirang,Arirang,Arirang,Arirang,Arirang,Ариран,Arirang,Arirang,อารีรัง,Arirang,Arirang,Arirang
709,Au clair de la lune,Au clair de la lune,في ضوء القمر,在月光下,在月光下,Au clair de la lune,Au clair de la lune,Au clair de la lune,Au clair de la lune,Au clair de la lune,Au clair de la lune,Au clair de la lune,Au Clair de la Lune,오 클레어 드 라 룬,月の光に,Au clair de la lune,Au Clair de la Lune,Au clair de la lune,Au clair de la lune,Au clair de la lune,У ясной луны,A la claro de luna,Au Clair de la Lune,โอ แคลร์ เดอ ลา ลูน,Ay Işığıyla,Au clair de la lune,Au clair de la lune
710,Romeo and Juliet,Romeo and Juliet,روميو وجوليت,罗密欧与朱丽叶,羅密歐與朱麗葉,Romeo en Juliet,Romeo and Juliet,Romeo and Juliet,Roméo et Juliette,Romeo & Julia,Romeo and Juliet,Romeo dan Juliet,Romeo e Giulietta,로미오와 줄리엣,ロミオとジュリエット,Romeo and Juliet,Romeo og Julie,Romeo i Julia,Romeu e Julieta,Romeu e Julieta,Ромео и Джульетта,Romeo y Julieta,Romeo och Julia,โรมิโอและจูเลียต,Romeo ve Juliet,Romeo ve Juliet,Romeo và Juliet
711,O sole mio,O sole mio,او سول ميو,我的太阳,我的太陽,O Sole Mio,O sole mio,O sole mio,O Sole Mio,O sole mio,O sole mio,O Sole Mio,O sole mio,오 솔레 미오,オーソレミオ,O sole mio,O Sole Mio,O Sole Mio,O sole mio,O sole mio,"О, мое солнце",O sole mio,O Sole Mio,โอ โซเล มีโอ,O tek Mio,O sole mio,O sole mio
712,The Ragtime Dance,The Ragtime Dance,رقصة موسيقى الجاز,时间的舞蹈,時間的舞蹈,De ragtime-dans,The Ragtime Dance,The Ragtime Dance,La danse du ragtime,The Ragtime Dance,The Ragtime Dance,Tarian ragtime,La danza ragtime,래그타임 댄스,ラグタイム・ダンス,The Ragtime Dance,Ragtime-dansen,Taniec ragtime,Dança Ragtime,Dança Ragtime,Рэгтайм танец,El Baile del Ragtime,Ragtime-dansen,ระบำแร็กไทม์ หรือ แร็กไทม์แดนซ์,Ragtime dansı,Ragtime Dansı,Điệu nhảy ragtime
713,Minuet K.1,Minuet K.1,المينيويت K.1,小步舞曲K.1,小步舞曲K.1,Minuet K.1,Minuet K.1,Minuet K.1,Minuet K.1,Menuett K.1,Minuet K.1,Minuet K.1,Minuet K.1,미뉴에트 K.1,メヌエット K.1,Minuet K.1,Menuett K.1,Menuet K.1,Minuet K.1,Minuet K.1,Менуэт K.1,Minuet K.1,Minuet K.1,มินูเอต K.1,Minüet K.1,Minüet K.1,Minuet K.1
714,Etude Op.599 No.55,Etude Op.599 No.55,القطعة الموسيقية No.55 Op.599,车尔尼Op.599 No.55,車爾尼Op.599 No.55,Etude Op.599 Nr.55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op.599 Nr.55,Etude Op.599 No.55,Etude Op.599 No.55,Etude op.599 n. 55,에튀드 Op.599 55번,練習曲 Op.599-55,Etude Op.599 No.55,Etude Op.599 nr.55,Etiuda Op.599 nr 55,Estudo Op.599 No.55,Estudo Op.599 No.55,Этюд Op.599 №55,Etude Op.599 No.55,Etude Op.599 No.55,Etude Op.599 No.55,Erude Op.599 No.55,Etüd Op.599 No.55,Etude Op.599 No.55
715,Maple Leaf Rag,Maple Leaf Rag,راج ورقة القيقب,枫叶拉格泰姆,楓葉拉格泰姆,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Kain daun maple,Maple Leaf Rag,메이플 리프 래그,メイプル・リーフ・ラグ,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Maple Leaf Rag,Akçaağaç yaprak bezi,Maple Leaf Rag,Maple Leaf Rag
